Film;ID;Review
Zack and Miri Make a Porno;100000000;Three start. I have some issues like some keys don't work on first instance..and is somewhat slow also
Youth in Revolt;100000001;Heating and not wake up. Check twice when buy it on Offer.
You Will Meet a Tall Dark Stranger;100000002;2nd hand laptops!!! The laptop I received already had an user on it with password etc. These are not new laptops!
When in Rome;100000003;Review: BEST LAPTOP IN A PRICE SEGMENT OF Rs 55-60K.
What Happens in Vegas;100000004;Review: second hand product. don't buy this. It is used. battery power is low. stand by power is only 4 hour.
Water For Elephants;100000005;Review: very bad. My product is not working what do I do ? I have paid everything! This is very very bad .
WALL-E;100000006;Review: waste of money. Battery is draining out very quickly after 2-3 hours of usage. Also it's not lasting for more than 7 days once it's in a sleep mode.Not at all recommend.
Waitress;100000007;Review: Very bad product. The Serial number on the product and the serial number on the laptop are different.
Waiting For Forever;100000008;Review: One star. Trackpad not working... tried 2 contact amazon.. not picking
Valentine's Day;100000009;Review: two star.Returned looking for Mac pro.
Tyler Perry's Why Did I get Married;100000010;Review: Three star. very low memory. Not good buy.
Twilight: Breaking Dawn;100000011;Review: Bad product. Battery issue with the laptop. Doesn't give backup as expected . Really upset with the product.
Twilight;100000012;Review: not a good product. charger not working after week use
The Ugly Truth;100000013;Review: better laptop is available in this price segment.
The Twilight Saga: New Moon;100000014;Review:  have had extremely bad experiences with Apple products. they suffer from a chronic problem which is well known : overheating
The Time Traveler's Wife;100000015;Review: Worst display.. fonts are blurry.. best part is help less amazon care. saying that there is no return policy..
The Proposal;100000016;Review: It’s been just 2 months and the device has already stopped functioning. It doesn’t turn on. I need a replacement. ’m very angry and disappointed.
The Invention of Lying;100000017;Review: Very bad product. The mac book delivered is not at all working this is not expected from such a reputed brand .looking for an immediate replacement or return.
The Heartbreak Kid;100000018;Review: Fake Product. received A Laptop Without Serial number of screen. unable To Claim Warranty.
The Duchess;100000019;Review: Pathetic product. Below standard quality.
The Curious Case of Benjamin Button;100000020;Review: Price mismatch. never buying such things on amazon ever again
The Back-up Plan;100000021;Review: very poor. disappointed. Defective product.
Tangled;100000022;Review: Be super careful about the NO COST EMI offer. The step is not shown. I paid the amount and now Kotak refuses to convert my purchase into EMI
Something Borrowed;100000023;Review: Not good product -: After 6 months it became turn off. It is not starting now.
She's Out of My League;100000024;Review: Not worthy of 2017 model in 55k bcs before 4 months in sale cut price of 10 k now no discount..only making fool on name of great indian sale
Sex and the City Two;100000025;Review: Amazon late delivery as usual and had so pathetic experience with Amazon courier team this time.
Sex and the City 2;100000026;Review: Overpriced people don't know slot about laptop.Apple products will cost u a lot cuz of its compatibility.
Sex and the City;100000027;Review: Worst laptop ever not for student use I repeat not for students.
Remember Me;100000028;Review: Price is very high not worthy
Rachel Getting Married;100000029;Review: bad product. Compatible issue for Microsoft office files. not better than window platform.
Penelope;100000030;Review: Bad Service.After 1 month it doesn't start without any problem and then i have to change main power IC.That become very costly.
P.S. I Love You;100000031;Review: Bad. Received a broken/opened package. most likely a returned package.
Over Her Dead Body;100000032;Review: pathetic. Wheel is not working well. Wheel is also very hard to press (to open the link in new window)... Now I use the wheel just to scroll. Usage of wheel as an alternate of Open in New Window is much difficult.
Our Family Wedding;100000033;Review: small in size. so grip in your palm will not be very comfortable.otherwise good product.
One Day;100000034;Review: Not able to hold it properly in hand and wire is also too short. I recommend to buy other larger size mouse with slightly more cost
Not Easily Broken;100000035;Review: very bad. The mouse is small for my palm. It is difficult to click. especially double clicks. The click buttons are not very responsive.
No Reservations;100000036;Review: Defective product. not able to print a single page. Carriage struck in the sides of the printer loudly. Now I have to contact HP service. Very painful process
Nick and Norah's Infinite Playlist;100000037;Review: Very expensive. Cartridge is very expensive....not recommended to buy this product .
New Year's Eve;100000038;Review: Average product. too bad for pc users.
My Week with Marilyn;100000039;Review: Utterly useless printer... TOTALLY unexpected from HP.. Pages getting stuck repeatedly. cartridge issues. abnormal noise.. Not worth even at 90% discount.
Music and Lyrics;100000040;Review: starsExcellent Product and Service by Amazon and Seller.
Monte Carlo;100000041;Review: starsGood product but not able to login to Facetime.
Miss Pettigrew Lives for a Day;100000042;Review: Very good product. Perfectly packed & delivered on time. Working good till now.
Midnight in Paris;100000043;Review: One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price.
Marley and Me;100000044;Review: There is no comparison for apple product. Performance is beyond expectation. Customer service is awesome!! loved it.
Mamma Mia!;100000000;Review: Works great sound is clear and is really loud. Would recommend
Mamma Mia!;100000001;Review: This is a awesome product. My husband and I love it.
Made of Honor;100000002;Review: Love the sound that comes out and Alexa is very informative!
Love Happens;100000003;Review: great device to listen to music.best blue tooth on the market today.I highly recommend it
Love & Other Drugs;100000004;Review: Excellent product at this price.The performance n battery life is superb for the whole day.Best buy. these days you don't get a compact good performing laptop at this price.
Life as We Know It;100000005;Review: As everyone knows any Apple product is outstanding and superior to the rest. Its superb. fast and amazing.I recommend buying the AirCase MacBook sleeve ( black and green ) and the MOCA smooth touch battle hard shell skin cover ( grey colour ). Both these products are on amazon.in. both VERY GOOD and must buy products to help improve your MacBook Air experience. ( I do not advertise or sell these products btw)
License to Wed;100000006;Review: The product is what it is and there is nothing to review about its capabilities. I wanted a MacBook and after looking at multiple outlets for prices amazon had the best pricing for this product. (With offers combined).I ordered the product on prime and there was a deficit on stock and by that delayed my delivery by a couple of days. Other than that the product was as expected. Delivery was smooth and as expected. The retailer is Appario retail and to my knowledge is an amazon subsidiary.
Letters to Juliet;100000007;Review: Nice Product! Have been using it since for last 3 months now. No issues faced.
Leap Year;100000008;Review: Its really amazing. Exactly the same experience which I heard and described.Macbook air is really best and affordable to all in broad range of costly apple products...!!
Knocked Up;100000009;Review: TSimply amazing! The best ever battery backup! High performance. And not to forget amazon packing and safety for your product is incredible. Love the way they care for your product by the time it reach safe in your hands.
